Date,Close,Volume,10k Earnings Sentiment,Comp 1,Comp 2,S&P Price Change,Interest rate change
2/10/2017,36.220001,5527100,0.151,0.00229,-0.0019,0.00432,
2/13/2017,36.650002,7151700,0.151,0.00387,0.01104,0.0043,
2/14/2017,37.32,4599000,0.151,0.01577,0.01825,0.00428,
2/15/2017,37.279999,4296900,0.151,0.00983,0.00099,0.00426,
2/16/2017,36.849998,3616200,0.151,-0.0073,-0.0011,0.00426,
2/17/2017,36.68,5917000,0.151,-0.0005,0.00649,0.00425,
2/21/2017,36.860001,3842900,0.151,0.00275,-0.0001,0.00423,
2/22/2017,36.779999,2658500,0.151,0.00189,-0.0017,0.00423,
2/23/2017,36.630001,3122300,0.151,0.00223,0.00407,0.00423,
2/24/2017,36.48,4575000,0.151,-0.0116,-0.0034,0.00422,
2/27/2017,36.939999,4195900,0.151,0.00432,0.00576,0.00422,
2/28/2017,36.240002,7566900,0.151,-0.0031,-0.0068,0.00423,
3/1/2017,36.889999,5994500,0.151,0.03196,0.01771,0.00417,
3/2/2017,35.970001,6618900,0.151,-0.0171,-0.0185,0.0042,
3/3/2017,36.049999,5091900,0.151,0.00307,0.00478,0.00419,
3/6/2017,35.580002,5115900,0.151,-0.0048,-0.0081,0.00421,
3/7/2017,35.599998,4149400,0.151,-0.0053,0.00226,0.00422,
3/8/2017,35.709999,3679900,0.151,-0.0015,0.00535,0.00423,
3/9/2017,35.849998,3208000,0.151,0.00842,-0.001,0.00422,
3/10/2017,36.009998,4307300,0.151,0.00256,0.00323,0.00421,
3/13/2017,36.029999,3894100,0.151,-0.0025,-0.0028,0.00421,
3/14/2017,35.919998,3579900,0.151,0.00102,0.00673,0.00422,
3/15/2017,35.799999,6428700,0.151,-0.0009,-0.0163,0.00418,
3/16/2017,35.830002,4818400,0.151,0.01039,0.00524,0.00419,
3/17/2017,35.119999,10581400,0.151,-0.011,-0.0097,0.00422,
3/20/2017,34.200001,9393700,0.151,-0.0177,-0.0061,0.00422,
3/21/2017,33.02,11893000,0.151,-0.0309,-0.0326,0.00428,
3/22/2017,33.080002,8907100,0.151,-0.0093,0.00089,0.00427,
3/23/2017,33.43,6455500,0.151,-0.0014,-0.0035,0.00427,
3/24/2017,33.310001,4682500,0.151,0.0105,-0.0031,0.00428,
3/27/2017,32.740002,8790100,0.151,-0.0079,-0.0062,0.00428,
3/28/2017,33.66,6438000,0.151,0.01029,0.01647,0.00425,
3/29/2017,33.779999,4487100,0.151,-0.0052,-0.0034,0.00425,
3/30/2017,34.43,5122200,0.151,0.01024,0.01478,0.00423,
3/31/2017,34.299999,5031400,0.151,-0.0103,-0.0039,0.00424,
4/3/2017,33.759998,6171300,0.151,-0.0031,-0.0064,0.00425,
4/4/2017,33.73,2556000,0.151,-0.0052,-0.0132,0.00425,
4/5/2017,33.259998,5021000,0.151,-0.004,-0.0139,0.00426,
4/6/2017,33.23,10510500,0.151,0.00709,0.0062,0.00425,
4/7/2017,33.16,3734700,0.151,-0.0096,-0.0083,0.00425,
4/10/2017,32.869999,6846200,0.151,-0.0055,-0.0083,0.00425,
4/11/2017,33.049999,6759700,0.151,-0.007,0.00917,0.00425,
4/12/2017,32.810001,4596100,0.151,-0.0192,-0.0085,0.00427,
4/13/2017,32.369999,5266500,0.151,-0.0333,-0.0107,0.0043,
4/17/2017,33.02,4183900,0.151,0.02668,0.01405,0.00426,
4/18/2017,32.849998,4971700,0.151,-0.0051,-0.0097,0.00428,
4/19/2017,33,3358600,0.151,-0.0057,-0.0011,0.00428,
4/20/2017,33.849998,5408300,0.151,0.02589,0.02647,0.00425,
4/21/2017,33.380001,4729700,0.151,-0.0093,-0.0069,0.00426,
4/24/2017,33.900002,4231800,0.151,0.01226,0.01027,0.00422,
4/25/2017,33.82,6164900,0.151,0.01696,0.00553,0.00419,
4/26/2017,33.23,11545900,0.151,-0.0004,-0.0305,0.00419,
4/27/2017,33.049999,7139800,0.151,-0.0018,-0.014,0.00419,
4/28/2017,27.799999,46357600,0.151,-0.011,-0.0269,0.0042,
5/1/2017,27.940001,22971500,0.151,0.01152,-0.0099,0.00419,
5/2/2017,28.870001,25490600,0.151,0.00147,-0.0006,0.00419,
5/3/2017,28.77,14287700,0.151,0.00568,-0.0128,0.00419,
5/4/2017,28.67,9812900,0.151,0.00602,-0.0096,0.00419,
5/5/2017,28.610001,10945300,0.151,-0.0013,-0.0041,0.00417,
5/8/2017,28.379999,8054600,0.151,-0.0013,0.00216,0.00417,
5/9/2017,28.1,8665700,0.151,-0.0065,0.00447,0.00418,
5/10/2017,27.76,11018200,0.151,0.00073,-0.0064,0.00417,
5/11/2017,26.93,14155000,0.151,-0.0179,-0.0012,0.00418,
5/12/2017,26.59,23145000,0.151,-0.0134,0.0005,0.00418,
5/15/2017,27.110001,14541200,0.151,0.00566,0.00896,0.00416,
5/16/2017,26.84,11191800,0.151,-0.0011,-0.0105,0.00417,
5/17/2017,26.5,11761900,0.151,-0.0192,-0.0221,0.00424,
5/18/2017,26.5,7949500,0.151,0.00268,0.00748,0.00422,
5/19/2017,26.84,13465100,0.151,0.01298,0.014,0.0042,
5/22/2017,26.91,9221600,0.151,-0.0009,-0.0067,0.00418,
5/23/2017,26.84,6534500,0.151,0.00717,0.0005,0.00417,
5/24/2017,26.799999,9157300,0.151,-0.0056,-0.009,0.00416,
5/25/2017,27.23,12800800,0.151,-0.0058,-0.0027,0.00414,
5/26/2017,27.370001,11451700,0.151,-0.007,0.01287,0.00414,
5/30/2017,27.1,9631400,0.151,-0.0048,-0.0157,0.00414,
5/31/2017,26.85,9204200,0.151,-0.0196,-0.0027,0.00414,
6/1/2017,27.219999,8658400,0.151,0.01838,0.0063,0.00411,
6/2/2017,27.4,12368500,0.151,-0.0052,-0.0027,0.0041,
6/5/2017,27.959999,10972400,0.151,-0.0017,0.00187,0.0041,
6/6/2017,28.290001,14205500,0.151,0.00174,-0.0056,0.00411,
6/7/2017,28.870001,16055500,0.151,0.0054,0.01159,0.0041,
6/8/2017,28.67,8528500,0.151,0.00902,0.00606,0.0041,
6/9/2017,28.700001,7848000,0.151,0.02359,0.01406,0.00411,
6/12/2017,28.76,5666100,0.151,0.00539,0.00264,0.00411,
6/13/2017,28.99,5308200,0.151,0.00666,0.01037,0.00409,
6/14/2017,29.23,10163500,0.151,0.00147,-0.0119,0.00409,
6/15/2017,29.469999,8638100,0.151,-0.0116,0.00148,0.0041,
6/16/2017,29.33,6828300,0.151,-0.0002,0.00626,0.00412,
6/19/2017,29.42,6875200,0.151,0.00649,0.00065,0.00409,
6/20/2017,29.440001,5691900,0.151,-0.0144,-0.0059,0.00412,
6/21/2017,29.700001,7815300,0.151,-0.009,-0.0069,0.00412,
6/22/2017,29.299999,6380500,0.151,-0.0092,-0.002,0.00412,
6/23/2017,28.969999,7561500,0.151,-0.0008,-0.0033,0.00411,
6/26/2017,29.68,7016700,0.151,0.00858,0.00949,0.00411,
6/27/2017,29.440001,6395700,0.151,0.00491,0.00759,0.00414,
6/28/2017,29.799999,10205800,0.151,0.02201,0.01326,0.00411,
6/29/2017,29.549999,10081600,0.151,0.02669,-0.006,0.00414,
6/30/2017,29.82,4782900,0.151,-0.0066,0.01106,0.00414,
7/3/2017,30.059999,2315300,0.151,0.00668,0.00129,0.00413,
7/5/2017,29.780001,4380600,0.151,0,-0.0122,0.00412,
7/6/2017,29.379999,4040200,0.151,-0.0039,-0.005,0.00416,
7/7/2017,29.700001,3595800,0.151,0.00324,0.00278,0.00413,
