,Date,close30d,earnings30d,comp130d,comp230d,s&p30d
520,10/6/2016,27.34599987,0.127,-0.002350667,-0.000524333,0.004628667
521,10/7/2016,27.3416665,0.127,-0.002361333,-0.000624333,0.00463
522,10/10/2016,27.33033317,0.127,-0.002080667,-0.000899667,0.004632
523,10/11/2016,27.3259998,0.127,-0.001935,-0.001123,0.004633
524,10/12/2016,27.30499983,0.127,-0.002803333,-0.002089667,0.004636667
525,10/13/2016,27.27866653,0.127,-0.003613,-0.002359333,0.004639667
526,10/14/2016,27.2299999,0.127,-0.004151667,-0.003155,0.004642667
527,10/17/2016,27.1946666,0.127,-0.003938333,-0.002742,0.004645667
528,10/18/2016,27.14866663,0.127,-0.004174333,-0.003190333,0.00465
529,10/19/2016,27.11633323,0.127,-0.003467333,-0.002789,0.004653667
530,10/20/2016,27.08933327,0.127,-0.003090667,-0.002381333,0.004657
531,10/21/2016,27.08233323,0.127,-0.003421,-0.002361667,0.004660333
532,10/24/2016,27.12566657,0.127,-0.002515667,-0.001941667,0.004659667
533,10/25/2016,27.1716666,0.127,-0.002074333,-0.001774333,0.004660667
534,10/26/2016,27.23366663,0.127,-0.000841333,-0.001071,0.00466
535,10/27/2016,27.296,0.127,-0.000214333,-0.000292333,0.004659667
536,10/28/2016,27.35900007,0.127,0.00024,-0.000531667,0.004661
537,10/31/2016,27.43200007,0.127,0.00063,-0.000271667,0.004661333
538,11/1/2016,27.4836667,0.127,4.43E-05,-0.000505,0.004661667
539,11/2/2016,27.54233337,0.127,-0.000367333,-0.000495,0.004663333
540,11/3/2016,27.58766673,0.127,-0.000387333,-0.000979333,0.004668
541,11/4/2016,27.60933337,0.127,-0.000233667,-0.001009,0.004674333
542,11/7/2016,27.63700003,0.127,-0.000791667,-0.000742667,0.00468
543,11/8/2016,27.69733343,0.127,0.000433,0.000633333,0.004680667
544,11/9/2016,27.72700017,0.127,0.000379667,0.000157,0.004681667
545,11/10/2016,27.80700013,0.127,0.002010333,0.001934333,0.004681667
546,11/11/2016,27.94833347,0.127,0.005228667,0.004367667,0.00468
547,11/14/2016,28.0976668,0.127,0.00536,0.004560667,0.00468
548,11/15/2016,28.3023335,0.127,0.00666,0.005625,0.004679667
549,11/16/2016,28.50266683,0.127,0.006326667,0.005501667,0.004677
550,11/17/2016,28.6583335,0.127,0.004805333,0.004610333,0.004675333
551,11/18/2016,28.87300017,0.127,0.005187,0.005248667,0.004673333
552,11/21/2016,29.1046668,0.127,0.005286,0.005524667,0.004671
553,11/22/2016,29.33433343,0.127,0.004607333,0.005685667,0.004668
554,11/23/2016,29.5820001,0.127,0.004818,0.006524,0.004662667
555,11/25/2016,29.86366673,0.127,0.004878,0.007068,0.004657667
556,11/28/2016,30.1413334,0.127,0.005592,0.007731333,0.004651667
557,11/29/2016,30.38133343,0.127,0.004962,0.007221667,0.004646667
558,11/30/2016,30.6273334,0.127,0.005299667,0.007371667,0.004640667
559,12/1/2016,30.89133347,0.127,0.005644,0.007237667,0.004636
560,12/2/2016,31.16033347,0.127,0.006308333,0.007046,0.004632
561,12/5/2016,31.4056669,0.127,0.006085,0.006532333,0.004627667
562,12/6/2016,31.63500027,0.127,0.006445333,0.006753,0.004622667
563,12/7/2016,31.86400023,0.127,0.006863333,0.006574333,0.004618
564,12/8/2016,32.11733357,0.127,0.007755,0.008313667,0.004610667
565,12/9/2016,32.3823336,0.127,0.007447,0.008068333,0.004602667
566,12/12/2016,32.63533353,0.127,0.007172667,0.008524667,0.004593333
567,12/13/2016,32.8633335,0.127,0.006509333,0.008088,0.004584
568,12/14/2016,33.1193335,0.127,0.006705333,0.008302333,0.004573667
569,12/15/2016,33.3653335,0.127,0.006038667,0.008179,0.004563333
570,12/16/2016,33.64900017,0.127,0.006880667,0.008962667,0.004551333
571,12/19/2016,33.93233357,0.127,0.006897667,0.008423333,0.004539667
572,12/20/2016,34.221667,0.127,0.007367667,0.008621333,0.004527333
573,12/21/2016,34.49333357,0.127,0.007301,0.008090333,0.004518333
574,12/22/2016,34.77333347,0.127,0.006965,0.008233667,0.004510333
575,12/23/2016,34.99533353,0.127,0.005195667,0.006256333,0.004504333
576,12/27/2016,35.1740002,0.127,0.002793,0.004527667,0.004498333
577,12/28/2016,35.32466687,0.127,0.002721667,0.004102,0.004491667
578,12/29/2016,35.4086669,0.127,0.001385,0.002585667,0.004486333
